linid;category;rate;installs
49772354f776f126417a7c2be78ad5b0faafabfbe4de23fa1cb7ce670d3525f9;Lifestyle;4.5;500,000+
17978bf38c83d5412e2a3d78277fb1ab2907c1a1c96ff441e43e2de04833e1d3;Communication;4.5;10,000,000+
8aa7e9c1a72e1f109e7e3f318566402ae2bc8c78b9b562705040deb4036fa730;Finance;4.4;50,000+
975378eeba0fc936b8da36435d448c66eac9ac76b59481140d20fdf811ac7ccd;Trivia;4.5;1,000,000+
e081c610191e82ef9e479df2fd6ad0b2b78474fd7185d02900bc776fa87d2608;Photography;3.6;1,000,000+
12ec94afbe5933818311525096b57f3f9894833e051b8694f9cd5517e34f283d;Puzzle;4.2;10,000,000+
082a0b347f18c1217dc7773fa8bfcbdfac93954d6363e5b6d55a12a91adf0fcb;Tools;2.5;100,000+
4eab982a8aca5beb3ae5e78c69fa481df8f027f3732c97631dc1de919decd371;Sports;4.6;100,000+
eb7b15d93ece51ac27a0311eee1c10b4f6994dfe3075e949c1e770ab08405937;Travel & Local;3.5;100,000+
e0b828665baa643e569b5d85dc1c0a80d0b36e11a6a4d2f5ddd281edfb759720;Trivia;4.2;1,000,000+
05a2fd3733223104fdf71d84b9f9a64d35defbbc6710b6a083b599b1798aaebf;Role Playing;4.1;500,000+
1a5892dc7002002e61ae0ad76587781942e03a60e130ac0cd901f1fff0d66548;Sports;4.4;50,000+
8ed16c2338ec07a90789748f1cf4cb1a8c9ecadd5b1ca6c54e34dc7ff25c3d77;Comics;4.2;500,000+
898338e2bcf27302d8a60d352712e14bc9f63bfd74b38a54a77464a1a1e22bdc;Travel & Local;4.3;1,000,000+
7ecfa84f51d86ec91fe6eb55ca0a35471e8c607603765872e37688f8fe1a8b21;Casual;4.2;1,000,000+
599ed075c12954867758f14dcbea40ed1de3bd8c1722ec3e74dad8de268a1ba7;Health & Fitness;4.0;5,000+
3626de8e4432b452ad75ffddbeb9b6d1a6f7d21a63f624435bcbde041705a438;Photography;4.0;1,000,000+
df67d3a2d203812ff89eaa158f8c1e6b0fdf7f9167ee34f49cc72cccf2703ee8;Tools;4.6;100,000+
960e59e7923c8c5ade941981f9165e79f61e2b7538fc3ac8fa6fc71a92c5ac83;Shopping;3.7;500,000+
eb61aae5315947f15ceceb11da0193d0a02767c61388e0a208686dc9745af318;Travel & Local;4.4;10,000,000+
334340cba0575910d7567886e5771265379465bb6fd56834a3ffc8a19c6e4be2;Entertainment;3.9;1,000,000+
c15ad4959440dc527c0eb4ea0ae5282cae55307aaa05f5c27b8c2c2336233606;Finance;4.4;5,000,000+
14b8af2f8ee81483731f9fa34e2c540439d15f41583eff87da6f0d14161c917c;Lifestyle;4.2;100,000+
d0e0abf1186456f3735b1e3f202f7c0acc14f825868c629202ead56ec1d66cd6;Education;3.5;1,000,000+
c78d7ab14cfba1aca812ef023ce8d5a8347683359216860170f6030e10137a56;Social;4.0;10,000+
86bce0475644879fcc78c9ea7c22e8d4da506cd2cc082bde9bb1450c6859e0c0;Productivity;4.2;50,000+
53a97ab09341affee5db5753e069088df10a1862ecd1644e5876b5546c144d98;News & Magazines;3.2;50,000+
586111da38199fc14021a377ddced2f8bc2d5cd5aa8a8a75953e0add50366666;Productivity;4.2;1,000,000+
8514d9ddd8bf17a27cde7ed641c871382ab9621b4cebf3275e4a4db9fb84f5d7;Business;3.9;10,000+
67afb31cd0291d64504ed3d2ecdf33cf5485ebc16b8dd7a5db7e8653dd77fbb2;Travel & Local;4.7;100,000+
8fc7121e2636a192cae91580a20b4311fa77c463987535f723e87194c5f4a294;Sports;4.5;1,000+
00becd201ce3dbfb6508cdc1e3d817f066d582c138c10fe4bcb4e8071aab6ff9;Tools;3.9;50,000+
88126ed80d5915803d600265362a2083a9eba87a86b3749e1f868363e26f5fa8;Communication;4.5;5,000,000+
013c916eb689ea424c58291e6b09125766b419b80621b5129a3b28e0738222f5;Strategy;4.4;10,000,000+
7e1cdb23c87b31cc428c649307c4742c9ffd3e74769b7e920c1ce1271f54f586;Action;4.6;1,000,000+
06582b949b06d1b21155db0ff0f4783f81bc7c49a8897516169eb878bef60e6c;Video Players & Editors;4.6;10,000,000+
8cad5774548ac2bf2f7f81caa29289c2428606fc6d8cdf4dd29dd1de24e671eb;Tools;3.5;100,000+
835e40c19874b2c9cec5bd39bba0d172cc09841871841dbe283c21b59d5e6d56;Productivity;4.6;1,000,000+
6b1c54f5425cd2ebb1b68d25435d7ced3069fdb8f38391396f6a077bf5226482;Health & Fitness;4.6;10,000,000+
73032a7c47fdebe3e6bf31d1254af1893690cacfb9c83b91900ee80d89453718;Lifestyle;3.6;100+
4d8bc5cbf731eadd2f84bdef4ae49b572d743acc6a868bf6eac1d48b4c26eac1;Tools;4.1;50,000,000+
9bc97cbfad73f76c3afec27621b69389ddb43656c242493b13954ec4da12560d;Tools;4.0;1,000,000+
9f2112c7886ae8c3ba592d6bb6c571dfb3253be68a9b5441f3a65436c96f8681;Sports;4.1;1,000,000+
5e67d9fe9caddc9c2ad9027f1fd9b28d641bb310087ce3e88fac34f2be41686e;Entertainment;4.6;10,000,000+
e0b3aa39a00139722c944b6ff35f084412aa4c12cbba938f4fc59125c1b98b95;Finance;3.7;10,000+
380a55380edf9885e6f830ca10380cce0d62945cc1474127a04a1ca085a2b976;Productivity;4.2;100,000+
357be5bdca860f73579088485c6738aebedbeec9526e04584803a9d9e5dd662c;Music & Audio;4.5;10,000+
2084de5ace99c314680f9d969e669ca659b45762757a4f6e3cc4d83a035bf6d2;Finance;3.4;1,000,000+
0c3a7e99a7509b083dbdc629dcf343b84bce0ddb8c9e78ea981354e8df2d7a2f;Comics;3.0;1,000,000+
e200aa2e1b0458da646786cb1be5f6f574414a2e5083cc0033e9bc4a46103b39;Video Players & Editors;4.0;10,000,000+
e71cfcf9658e4bc11fa8dad18e2dc09f655abc29e8c45fe1fc5822a806298fef;Health & Fitness;4.1;1,000,000+
9ef2cdaa3f72803757d6975617f71a5965ff59667330e24b400f236080795513;Finance;4.5;1,000,000+
e88bd9920d131da1b774c16dac75f3ed20866d35bed2ff3c52d4c1627ec61263;House & Home;4.3;1,000,000+
fcc8c6cd6c3081c9af922097029426d4b741385bb26571fcea39983754f00329;Role Playing;4.1;1,000,000+
3f0d94c023dd17daa8fef12f369c396915ac50939096875fc409839c2a3b81cb;Productivity;4.4;1,000,000+
33c1cb55f7261f3bc52874a73608da2e33e6dfad93c8b8d7437e30f8ecf15a12;Lifestyle;4.0;100,000+
9aa61c939ce9bb24b959927124a0a3b4be833b87e7078b9a2ac6c7809ed97e4e;Personalization;4.7;10,000,000+
6dfecdcec4fc014e9bc9685d017e545219ed7d862f6e1542989ea9583343931c;Medical;4.5;500,000+
7f2f3ebf89a2089ff2dd6c784b7f9918038ae8d13706cda33bd8462e53a8d9b4;Word;3.8;50,000+
612454e2423f2649d702e57eea4de98c05657c2ecd68a703e6043dab2b9966a8;Social;3.7;50,000+
d91ed67fb67ce867454f94c49372e894ed558dab7eb807d9cd66e674c728fa03;Productivity;4.4;1,000,000+
2b1050a29c5840069a5df9085a2faa2cb4ce34bd8cb011c73b7c174bd76bc5fd;Tools;4.2;100,000+
8da9231e6842d7f226ed57534e3985c2da6d2806fd247a3b8fa2f90ccca89146;Lifestyle;3.2;500,000+
6392c414d2a915ce8f5f9d81e3ae20cc6e6ec426672f4dc53bbb468fcef780af;News & Magazines;4.2;50,000+
b311622a5d81386c79122a0b3d314d30faf435e03d242c84ed406fb1697a157f;Education;4.7;1,000,000+
09cf9f52723954858c1746525cb1e578365f846ae85ac4211a8485ae984d2358;Communication;4.2;1,000,000+
95b18a32cec759e44be4a1a04d88a1f76eba63f0ea54912c5f078bbded21e237;Card;4.5;1,000,000+
54d63b5c77a2785b6e87205cff8b36e830ca1e57184b09596d2745bbca393711;Finance;4.2;100,000+
c1c2e8118b872aadaf82bded480dec65db49f905d70afdb524cc7e8564f36f7a;Books & Reference;4.7;10,000+
a83432f2b7c8d752f134de9f02a48085e21e2b42ab2f27afa2c509308e2b3f5b;Tools;4.5;100,000+
12a1d556d0c5b1c1f3a7b0be0fc04a7a589db32d5bdfcb405f8915c8217aa0e7;Education;4.2;1,000,000+
bff7263921514e0e197c9c620bc05c9113ea758cc9e8f2ff6e46f74ce7597d8b;Business;4.2;10,000+
0a0f1b94e116738cee849b18724b5974acc3d6036d8c0979952f1da811db0219;Social;4.0;100,000+
774309cf63855925f07962de16edfbccff6d5fecfeeba29a8003991afc664e5a;News & Magazines;4.3;50,000,000+
ea63c045b5ece9b65f3a0e210ab5d3f5e5593d6014127f77904ec9f0a32607fe;Lifestyle;4.5;1,000,000+
b100233a75883e9001d988484e9db2a6eac3d3cca576beb6e028b8f77417b8b4;Productivity;4.7;500,000+
4bf200733293f839e901bbf66267f92c1a536bf68c7d4cf07d62672d2dbc9e3e;Entertainment;4.1;1,000,000+
d79e53b018207c8c89c8ef0f0c101ddcdc5a2b9175af0f8659e5f1e0d070136e;Finance;2.9;100,000+
1ab5af6e9c5f9bf53e1a90f84ac7bcb5f309faa40e2758bb5f67556900aae428;Finance;4.4;500,000+
21fe7de5be9fb49d589c556b34ad07a2c0dc80451474d841b32a85d5d371874f;Social;4.6;10,000+
fd77fa8cc3b35be8d42c3d31ca83fbe1d3f388b4b94d0172084f8bf41bec8139;Education;4.4;100,000+
2140355dd992fd8af00531a5ae9fac3dc84e0a8e4086ad01aff65fcea9b817c4;Communication;4.7;100,000+
fd8c3d83dbe7e93fe2c015638b193341aadb667b43b4a81820020f2f16d3dfbc;Entertainment;4.1;5,000,000+
2ff3e13f527d0b772fc8895accf4fc5dd8c333f7a906828aa68ddf1a06d974d3;Tools;4.3;10,000,000+
03c54a5936a1c57b5d79e01e645c05b884767189b777cdae8536f5882549699c;Tools;4.1;1,000,000+
1576dd8955bd9da0fcea455628eb1792691da95fcfdbbbdd26aa601e2f920d21;Personalization;4.1;5,000+
76c27b8e9a43c954b294dc71541b08675e1d8b218f7baafa0b5c5e76dfa4801d;Travel & Local;4.6;100,000+
8a5938c43d56cc7713f16351f7668d60058c8899e37eeba191ff10021426fa13;Education;4.6;100,000+
